MAE,RMSE,sMAPE,MASE,model,horizon,series_id,seasonality_strength
75.35582297342184,108.9538408459211,0.4278598841930173,0.33439073919972834,AutoTheta,14,T2762,0.9910089008443232
74.84285714285708,88.27809144159951,0.9932374031563881,0.29668090698606253,Naive,7,T578,0.967263386538526
112.01428571428563,126.91702576317886,1.4825014531162735,0.444030347714777,Naive,14,T578,0.967263386538526
102.6285714285715,114.39526713486512,1.3657916930230936,0.40682489707728126,SeasonalNaive,7,T578,0.967263386538526
139.58571428571435,153.8614775884929,1.8521804956672636,0.5533248982937241,SeasonalNaive,14,T578,0.967263386538526
82.27829808678689,99.23324124810311,1.0927198797667514,0.3261553745210975,AutoETS,7,T578,0.967263386538526
122.44870442384308,138.87945132888905,1.6220836830888954,0.4853929162323699,AutoETS,14,T578,0.967263386538526
88.46087275318898,105.61474156337204,1.1754898238343396,0.3506634161640839,AutoTheta,7,T578,0.967263386538526
134.89880558402294,152.40516695260075,1.7888700610269082,0.5347457528994681,AutoTheta,14,T578,0.967263386538526
69.74285714285803,75.607444833732,0.48695409503332254,0.33948597919510765,Naive,7,T2943,0.9901732182311477
302.04285714285794,391.32712475808404,2.0781468395576246,1.4702482708156674,Naive,14,T2943,0.9901732182311477
104.27142857142852,132.4057346621688,0.7294077011045427,0.5075600495995611,SeasonalNaive,7,T2943,0.9901732182311477
